what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552329326
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1270552329340
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552336264
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552337564
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1270552337579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552351328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552352794
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1270552352809
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552359160
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552360475
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1270552360491
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552368356
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552369789
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1270552369804
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552377988
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552379352
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1270552379367
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1270552398317
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552401509
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552437330
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552440202
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270552489397
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1270552497886
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1270552501180
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1270552501335
