what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1295276315238
started,bundle,org.eclipse.jface,3.5.0.I20090525-2000,"org.eclipse.jface",1295276315238
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1295276315238
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1295276315238
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1295276315238
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1295276315238
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1295276315238
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1295276315238
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1295276315238
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1295276315238
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1295276315238
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1295276315238
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1295276315238
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1295276315238
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1295276315238
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1295276315238
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1295276315238
os,sysinfo,,,"win32",1295276315238
arch,sysinfo,,,"x86",1295276315238
ws,sysinfo,,,"win32",1295276315238
locale,sysinfo,,,"nl_NL",1295276315238
processors,sysinfo,,,"2",1295276315238
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295276315238
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1295276315238
java.specification.name,sysinfo,,,"Java Platform API Specification",1295276315238
