what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570712539
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570717286
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570717301
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570721295
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570723187
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570723201
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570727581
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570729772
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570729788
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570739463
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570741882
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570741896
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570745878
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570747877
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570747890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570752782
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570754742
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570754757
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570759796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570762086
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570762099
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570765917
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570767613
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570767630
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570771535
