what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1296814241843
arch,sysinfo,,,"x86",1296814241843
ws,sysinfo,,,"win32",1296814241843
locale,sysinfo,,,"nl_NL",1296814241843
processors,sysinfo,,,"2",1296814241843
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1296814241843
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1296814241843
java.specification.name,sysinfo,,,"Java Platform API Specification",1296814241843
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296814241843
java.specification.version,sysinfo,,,"1.6",1296814241843
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1296814241843
java.version,sysinfo,,,"1.6.0_20",1296814241843
java.vm.info,sysinfo,,,"mixed mode, sharing",1296814241843
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1296814241843
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296814241843
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296814241843
java.vm.specification.version,sysinfo,,,"1.0",1296814241843
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296814241843
java.vm.version,sysinfo,,,"16.3-b01",1296814241843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296814241843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296814241843
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1296814242656
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1296814243484
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1296814244328
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1296814254624
