what,kind,bundleId,bundleVersion,description,time
started,bundle,org.lejos.ldt.core,1.2.0,"org.lejos.ldt.core",1265567447202
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567471836
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567554036
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.ltk.ui.refactor.show.refactoring.history",1265567554045
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1265567557586
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1265567557602
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1265567557737
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1265567557876
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1265567558243
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.helpContents",1265567558625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567558821
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1265567559101
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1265567559132
started,bundle,org.eclipse.help.webapp,3.4.0.v20090429_1800,"org.eclipse.help.webapp",1265567560529
started,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1265567576124
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1265567576162
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567636624
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1265567675185
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1265567675188
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1265567675317
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567676483
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567681643
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1265567681659
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567704652
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265567708894
