what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1298027572756
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1298027572756
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1298027573553
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1298027577537
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1298027580693
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1298027581490
os,sysinfo,,,"win32",1298027581490
arch,sysinfo,,,"x86",1298027581490
ws,sysinfo,,,"win32",1298027581490
locale,sysinfo,,,"nl_NL",1298027581490
processors,sysinfo,,,"2",1298027581490
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298027581490
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1298027581490
java.specification.name,sysinfo,,,"Java Platform API Specification",1298027581490
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298027581490
java.specification.version,sysinfo,,,"1.6",1298027581490
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298027581490
java.version,sysinfo,,,"1.6.0_20",1298027581490
java.vm.info,sysinfo,,,"mixed mode, sharing",1298027581490
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1298027581490
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298027581490
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298027581490
java.vm.specification.version,sysinfo,,,"1.0",1298027581490
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298027581490
java.vm.version,sysinfo,,,"16.3-b01",1298027581490
