what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1296829410537
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1296829410537
java.specification.name,sysinfo,,,"Java Platform API Specification",1296829410537
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296829410537
java.specification.version,sysinfo,,,"1.6",1296829410537
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1296829410537
java.version,sysinfo,,,"1.6.0_23",1296829410537
java.vm.info,sysinfo,,,"mixed mode, sharing",1296829410537
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1296829410537
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296829410537
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296829410537
java.vm.specification.version,sysinfo,,,"1.0",1296829410537
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296829410537
java.vm.version,sysinfo,,,"19.0-b09",1296829410537
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1296829410615
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1296829410942
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1296829411535
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1296829411598
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1296829411816
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1296829411816
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1296829411816
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1296829414078
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1296829414156
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1296829414218
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1296829414437
