what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1265570359809
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1265570359814
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1265570359815
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1265570359816
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1265570359817
os,sysinfo,,,"win32",1265570359820
arch,sysinfo,,,"x86",1265570359820
ws,sysinfo,,,"win32",1265570359820
locale,sysinfo,,,"nl_NL",1265570359820
processors,sysinfo,,,"2",1265570359820
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1265570359821
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1265570359821
java.specification.name,sysinfo,,,"Java Platform API Specification",1265570359821
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265570359821
java.specification.version,sysinfo,,,"1.6",1265570359821
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1265570359821
java.version,sysinfo,,,"1.6.0_11",1265570359821
java.vm.info,sysinfo,,,"mixed mode",1265570359821
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265570359821
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265570359821
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265570359821
java.vm.specification.version,sysinfo,,,"1.0",1265570359821
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1265570359821
java.vm.version,sysinfo,,,"11.0-b16",1265570359821
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570367717
