what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1270551762756
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1270551762762
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1270551762763
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1270551762764
os,sysinfo,,,"win32",1270551762768
arch,sysinfo,,,"x86",1270551762768
ws,sysinfo,,,"win32",1270551762768
locale,sysinfo,,,"nl_NL",1270551762768
processors,sysinfo,,,"2",1270551762768
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270551762768
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1270551762768
java.specification.name,sysinfo,,,"Java Platform API Specification",1270551762768
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270551762768
java.specification.version,sysinfo,,,"1.6",1270551762768
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270551762768
java.version,sysinfo,,,"1.6.0_11",1270551762768
java.vm.info,sysinfo,,,"mixed mode",1270551762768
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270551762768
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270551762768
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270551762768
java.vm.specification.version,sysinfo,,,"1.0",1270551762768
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270551762768
java.vm.version,sysinfo,,,"11.0-b16",1270551762768
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1270551767391
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1270551769181
