what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1265567259788
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1265567259789
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.core",1265567259790
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1265567259791
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1265567259793
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1265567259798
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1265567259800
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1265567259800
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1265567259800
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1265567259802
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1265567259802
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1265567259803
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1265567259804
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1265567259806
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1265567259807
os,sysinfo,,,"win32",1265567259811
arch,sysinfo,,,"x86",1265567259811
ws,sysinfo,,,"win32",1265567259811
locale,sysinfo,,,"nl_NL",1265567259811
processors,sysinfo,,,"2",1265567259811
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1265567259812
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1265567259812
java.specification.name,sysinfo,,,"Java Platform API Specification",1265567259812
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265567259812
java.specification.version,sysinfo,,,"1.6",1265567259812
