what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570819397
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570820998
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570821009
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570831249
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570831392
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1265570854097
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570877702
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570935575
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570936426
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1265570938362
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1265570942193
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570950136
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570952660
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570952660
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1265570957834
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570959978
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570967062
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570969343
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1265570969441
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570969441
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570981466
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570983040
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570983051
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570988789
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570990921
