what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295276315238
java.specification.version,sysinfo,,,"1.6",1295276315238
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295276315238
java.version,sysinfo,,,"1.6.0_20",1295276315238
java.vm.info,sysinfo,,,"mixed mode, sharing",1295276315238
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295276315238
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295276315238
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295276315238
java.vm.specification.version,sysinfo,,,"1.0",1295276315238
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295276315238
java.vm.version,sysinfo,,,"16.3-b01",1295276315238
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1295276316144
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1295276316144
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1295276316160
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1295276316207
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1295276319425
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1295276319425
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1295276319487
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1295276319503
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295276320331
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1295276320331
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295276323877
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1295276323893
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1295276323893
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1295276326314
