what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570773726
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265570773798
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570773861
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570773874
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570777122
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570779592
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570779604
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570785006
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570786714
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570786725
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570790874
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570792785
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570792796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570797130
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570799001
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570799015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570802719
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570804406
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570804418
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570807906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570809636
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570809647
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570814822
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265570816390
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265570816403
