what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571041344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571042522
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265571042531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571046266
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571047769
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265571047779
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571051777
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571053258
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265571053269
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571056387
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571057440
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265571057451
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571062533
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571063842
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265571063853
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571066973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571068280
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265571068289
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571071644
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265571072913
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1265571072924
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265571081611
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1265571081726
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1265571084714
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.saveAll",1265571093597
